0	0	0	0
0.903	0.01491	0.903	0.01491
2.745	0.04178	2.745	0.04178
5.313	0.07514	5.313	0.07514
8.193	0.09716	8.193	0.09716
11.176	0.11498	11.176	0.11498
15.067	0.13441	15.067	0.13441
19.503	0.15222	19.503	0.15222
23.602	0.16874	23.602	0.16874
26.896	0.1791	26.896	0.1791
28.011	0.18687	28.011	0.18687
28.115	0.26525	28.115	0.26525
28.219	0.51915	28.219	0.51915
28.427	0.76657	28.427	0.76657
29.049	0.86017	29.049	0.86017
31.617	0.88089	31.617	0.88089
35.82	0.89482	35.82	0.89482
40.256	0.90259	40.256	0.90259
48.375	0.91781	48.375	0.91781
54.731	0.93206	54.731	0.93206
61.527	0.93854	61.527	0.93854
69.543	0.94988	69.543	0.94988
77.948	0.95635	77.948	0.95635
88.428	0.96412	88.428	0.96412
94.498	0.9706	94.498	0.9706
100	0.98	100	0.98
